2015/10/19 22:59:45 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: Loading user properties from: /usr/share/jmeter/bin/user.properties 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: Loading system properties from: /usr/share/jmeter/bin/system.properties 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: Copyright (c) 1998-2012 The Apache Software Foundation 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: Version 2.8.20130705 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: java.version=1.7.0_80 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: os.name=Linux 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: os.arch=amd64 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: os.version=3.13.0-65-generic 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: JMeterHome=/usr/share/jmeter 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: user.dir  =/home/srikrishnan/scalable/eCommerce-App 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: PWD       =/home/srikrishnan/scalable/eCommerce-App 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: srikrishnan-HP-14-Notebook-PC FullName: srikrishnan-HP-14-Notebook-PC 
2015/10/19 22:59:46 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/10/19 22:59:50 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/10/19 22:59:50 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/10/19 22:59:51 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2015/10/19 22:59:53 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/10/19 22:59:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/10/19 22:59:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/10/19 22:59:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/10/19 22:59:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/10/19 22:59:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/10/19 22:59:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/10/19 22:59:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2015/10/19 22:59:54 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2015/10/19 22:59:55 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/10/19 22:59:55 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/10/19 22:59:55 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/10/19 22:59:55 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
